127.0.0.1 - - [13/Feb/2023:09:04:44 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:30 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:31 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:32 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:32 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:33 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:33 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:41 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=7 HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:42 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=6 HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:42 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=5 HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:43 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=4 HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:43 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=2 HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:44 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=1 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:47 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verMovimientosGenerales HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:50 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 500 1575
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:54 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 500 1575
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:56 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=2 HTTP/1.1" 500 1575
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:01 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:09 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:09 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:10 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:10 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:10 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:11 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:12 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=eliminar&id=3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:13 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=nuevo HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:17 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 500 1638
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:22 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:09:24 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 500 1485
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:35:48 -0500] "GET /MiChaucheritaWebApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:35:48 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:35:52 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=ver&id=1 HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:35:53 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=modificar&id=1 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:35:57 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardarActualizacion&id=1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:36:03 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=ver&id=1 HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:36:11 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=modificar&id=1 HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:36:34 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardarActualizacion&id=1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Feb/2023:10:33:08 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardarActualizacion&id=1 HTTP/1.1" 200 865
